一	1
󸿕	1
󸿙	1
󹑟	1
󹒫	1
丨	2
丿	3
丶	4
乀	5
乁	5
乙	5
乚	5
乛	5
亅	5
𠂆	5
𠃉	5
𠃊	5
𠃋	5
𠃌	5
𠃑	5
𠄌	5
𠄎	5
𡿨	5
乁	5
󻑔	5
二	11
𠄞	11
𠄟	11
𠄠	11
丅	12
十	12
𠃍	12
丆	13
厂	13
𠂇	13
丁	15
丂	15
七	15
匕	15
匚	15
匸	15
𠀀	15
𠀁	15
𠀂	15
𫠠	15
󺯦	15
丄	21
𠃎	21
󺯣	21
卜	24
冂	25
刂	25
𠁡	25
𠁢	25
𠂉	31
亻	32
㐅	34
乂	34
人	34
入	34
八	34
𠆢	34
󺯥	34
󿭀	34
乃	35
九	35
儿	35
几	35
𠂊	35
𠘧	35
𠘨	35
𠤎	35
丷	43
󻑗	44
冖	45
帰	45
讠	45
𪜊	45
󻗭	45
󽿿	45
刁	51
󺯰	51
丩	52
凵	52
卩	52
凵	52
󺯡	52
刀	53
力	53
𠂈	53
𠚣	53
乄	54
厶	54
又	54
龴	54
𠙴	54
㔾	55
乜	55
了	55
巜	55
𠃏	55
𠃐	55
𠄍	55
𠄏	55
𠄐	55
𠤬	55
𢎘	55
󺰒	55
󻑾	55
三	111
干	112
亍	115
于	115
亏	115
亐	115
土	121
士	121
工	121
卄	122
𧃶	122
下	124
𠃒	125
𪜀	125
󹾧	125
丌	132
廾	132
丈	134
大	134
𠆣	134
𢌬	134
󽿽	134
万	135
兀	135
尢	135
尢	135
󽿱	135
󽿺	135
󽿻	135
扌	151
㐄	152
㔿	152
𠙵	152
𡕒	152
𪜁	152
才	153
𠀅	153
󽿰	153
寸	154
弋	154
𠫓	154
𠫔	154
𢍺	154
㐉	155
𣦶	155
上	211
󺯢	211
𠧒	215
󻒸	215
󻑕	221
󻒴	221
󻒷	225
󻒰	231
𣥂	233
𡭔	234
󻑖	234
凣	235
󽿾	235
󺯫	243
门	245
口	251
囗	251
𠀃	251
𠔼	251
󻏉	251
㟡	252
山	252
巾	252
󹾦	253
󹾨	311
千	312
𠀆	312
𫡏	313
乇	315
乞	315
亇	315
𠂌	315
川	322
亿	325
𠂋	331
彳	332
彡	333
𠆥	334
𫝄	334
凢	335
𠂍	335
󻒹	335
亼	341
𠓛	341
𠔀	341
个	342
乊	343
义	344
亽	344
㐈	345
亾	345
兦	345
𠆤	345
勺	351
󹾬	351
󺝽	351
󽿴	351
󽿹	351
犭	353
𠂎	353
𠠲	353
󽿲	353
丸	354
久	354
么	354
凡	354
勺	354
夂	354
夊	354
夕	354
𠁽	354
𠚤	354
丸	354
󹾫	354
󹾮	354
㐇	355
饣	355
󺜧	355
广	413
亡	415
忄	424
󻑽	425
䒑	431
󻑘	431
丫	432
丬	442
氵	444
𠁼	444
宀	445
𠖬	445
𢖩	454
彐	511
󺝌	511
卂	512
尸	513
𡰣	513
󻉩	513
己	515
已	515
巳	515
弓	515
𢎗	515
𪟨	515
卫	521
𠀄	521
󹽵	521
󽿼	521
屮	522
屮	523
卪	524
也	525
𡳾	525
󽿶	525
󽿷	525
女	531
󺫇	531
󺱞	531
乆	534
刃	534
刄	534
小	534
飞	534
刃	534
󺰧	534
󽿳	534
劜	535
𠃔	535
󽿵	535
㐃	542
习	544
叉	544
𠫖	545
子	551
孑	551
孒	551
彑	551
纟	551
马	551
𡤼	551
阝	552
乡	553
孓	554
幺	554
廴	554
𠁾	554
𠫕	554
巛	555
𠄑	555
󹾩	555
󹾪	555
亖	1111
壬	1121
王	1121
龶	1121
𤣩	1121
王	1121
𠚧	1125
亓	1132
井	1132
开	1132
天	1134
夫	1134
元	1135
无	1135
󹾎	1135
韦	1152
󽿬	1152
󹾠	1153
专	1154
云	1154
弌	1154
𢍼	1154
𠃗	1155
㠪	1211
𠥻	1212
𠥼	1212
耂	1213
圡	1214
𡈽	1214
㐊	1215
㐋	1215
丐	1215
圠	1215
𠃖	1215
𢀒	1215
𢀓	1215
𢀔	1215
𢀕	1215
𢎜	1215
󹁍	1215
廿	1221
龷	1221
艺	1225
𠀍	1225
󹾛	1225
木	1234
𣎴	1234
𣎳	1235
𥘅	1235
乤	1245
与	1251
五	1251
𠮛	1251
𢀑	1251
巿	1252
帀	1252
𠙷	1252
㔹	1253
支	1254
𡬝	1254
丏	1255
󹾓	1255
󹾣	1311
廾	1312
厅	1315
𡯁	1315
卅	1322
不	1324
𢌭	1324
𤓯	1324
󺛥	1324
仄	1334
󽿤	1334
㔫	1335
冇	1335
𠨬	1335
𡯃	1335
𠄡	1341
𡗓	1341
󽿖	1341
𡗔	1342
太	1344
犬	1344
𠀋	1344
区	1345
𠤭	1345
𪥁	1345
历	1353
厷	1354
友	1354
反	1354
尤	1354
歹	1354
𠀊	1354
𪜂	1354
󹁁	1354
󽿔	1354
󽿮	1354
匹	1355
厄	1355
车	1512
𠤏	1512
󽿜	1512
戸	1513
扎	1515
比	1515
𢩧	1515
󽿛	1515
󹾍	1522
屯	1525
朩	1534
𡭕	1534
兂	1535
旡	1535
𠑶	1535
𠥭	1535
󹾜	1541
戈	1543
互	1551
𠨐	1552
󹾏	1552
切	1553
牙	1553
㸦	1554
𢆰	1554
𢍻	1554
󹾕	1554
󹾟	1554
󹾤	1554
󻑓	2111
卝	2112
艹	2112
𪜈	2115
止	2121
龰	2134
󹾭	2151
󽿚	2153
攴	2154
㲊	2155
𪟽	2155
𠔂	2234
󻅇	2254
𠚩	2425
闩	2451
𠚬	2453
丮	2511
冃	2511
冄	2511
日	2511
